id,dataset_name,category,file_size_mb,source,last_update
292,"Public Health Surveillance (Global, 2015-2023)",Healthcare,5286.33,Public API,2023-03-26
293,"Wildlife Population Surveys (Middle East, 2017-2024)",Environment,5121.8,Internal Analytics Team,2018-05-21
294,"Medical Insurance Claims (Middle East, 2016-2023)",Healthcare,4546.64,Research Institute,2024-12-09
295,"Medical Insurance Claims (EU, 2016-2023)",Healthcare,3579.42,Kaggle,2022-11-04
296,"Student Enrollment Statistics (EU, 2020-2025)",Education,3629.15,Public API,2021-10-28
297,"Standardized Test Results (Global, 2019-2024)",Education,3372.45,Research Institute,2022-11-11
298,"Public Transit Ridership (Asia, 2022-2024)",Transportation,3881.95,Public API,2019-09-28
299,"Air Quality Measurements (Global, 2022-2025)",Environment,4412.73,Research Institute,2023-01-01
300,"Road Accident Reports (Global, 2021-2024)",Transportation,2431.1,Research Institute,2020-09-25
301,"Wildlife Population Surveys (Asia, 2015-2025)",Environment,3126.1,Public API,2023-07-01
302,"Student Enrollment Statistics (Middle East, 2021-2024)",Education,5966.5,Research Institute,2024-05-15
303,"Water Pollution Levels (EU, 2016-2023)",Environment,323.65,Public API,2024-07-13
304,"Public Transit Ridership (Asia, 2016-2023)",Transportation,6154.86,Kaggle,2023-08-19
305,"Consumer Credit Scores (EU, 2017-2024)",Finance,3735.72,Kaggle,2020-02-16
306,"Standardized Test Results (Asia, 2020-2024)",Education,3106.77,Internal Analytics Team,2020-06-25
307,"Student Enrollment Statistics (Asia, 2018-2024)",Education,7417.9,Internal Analytics Team,2024-11-09
308,"Wildlife Population Surveys (EU, 2020-2023)",Environment,7998.39,Kaggle,2019-11-20
309,"Flight Delay Statistics (Asia, 2020-2023)",Transportation,5625.8,Public API,2023-03-10
310,"School Performance Index (Asia, 2022-2024)",Education,6653.85,Public API,2020-11-10
311,"Cryptocurrency Transactions (Asia, 2020-2025)",Finance,2468.44,Government Open Data,2023-10-08
312,"Public Transit Ridership (Asia, 2017-2024)",Transportation,5343.92,Government Open Data,2018-07-22
313,"Student Enrollment Statistics (Middle East, 2016-2023)",Education,5579.87,Research Institute,2021-04-26
314,"Cloud Server Performance Logs (Global, 2021-2024)",Technology,5519.53,Public API,2023-04-20
315,"Consumer Credit Scores (US, 2019-2024)",Finance,55.37,Kaggle,2023-03-05
316,"E-commerce Conversion Rates (US, 2021-2025)",Retail,855.03,Government Open Data,2018-11-18
317,"Cryptocurrency Transactions (Middle East, 2018-2024)",Finance,2934.02,Government Open Data,2022-01-27
318,"Clinical Trial Outcomes (Global, 2018-2024)",Healthcare,828.9,Research Institute,2018-02-21
319,"Disease Incidence Records (EU, 2021-2024)",Healthcare,4539.39,Public API,2021-12-22
320,"Hospital Patient Admissions (EU, 2016-2024)",Healthcare,77.55,Research Institute,2018-05-16
321,"Disease Incidence Records (Asia, 2022-2023)",Healthcare,2925.53,Public API,2021-03-21
322,"Student Enrollment Statistics (EU, 2015-2025)",Education,7728.44,Government Open Data,2021-02-16
323,"Inventory Stock Levels (Global, 2016-2024)",Retail,2338.02,Kaggle,2018-08-25
324,"Hospital Patient Admissions (Global, 2019-2023)",Healthcare,3025.75,Government Open Data,2018-08-06
325,"Public Transit Ridership (EU, 2016-2024)",Transportation,2019.12,Internal Analytics Team,2018-10-19
326,"University Graduation Rates (Global, 2016-2024)",Education,5625.87,Kaggle,2020-07-17
327,"Inventory Stock Levels (Global, 2016-2024)",Retail,608.16,Internal Analytics Team,2022-11-07
328,"Vehicle Registration Records (EU, 2021-2025)",Transportation,4391.24,Internal Analytics Team,2021-04-21
329,"Vehicle Registration Records (Global, 2022-2025)",Transportation,6379.92,Public API,2021-11-12
330,"Online Course Participation (EU, 2015-2025)",Education,5428.97,Government Open Data,2021-08-09
331,"Daily Sales Transactions (Global, 2022-2023)",Retail,3413.99,Government Open Data,2024-03-17
332,"Inventory Stock Levels (US, 2018-2023)",Retail,2311.24,Internal Analytics Team,2024-01-19
333,"Carbon Emissions Data (Middle East, 2019-2025)",Environment,1665.97,Internal Analytics Team,2021-12-10
334,"University Graduation Rates (US, 2015-2025)",Education,3022.95,Research Institute,2019-01-03
335,"Traffic Flow Sensors (Global, 2015-2025)",Transportation,5199.69,Internal Analytics Team,2023-08-24
336,"Air Quality Measurements (Asia, 2015-2023)",Environment,5373.06,Government Open Data,2022-03-11
337,"Climate Temperature Records (EU, 2020-2024)",Environment,7916.34,Research Institute,2021-11-22
338,"Consumer Credit Scores (Middle East, 2020-2025)",Finance,5108.33,Research Institute,2018-07-12
339,"Software Bug Reports (Global, 2021-2025)",Technology,5923.69,Public API,2022-03-24
340,"Road Accident Reports (Asia, 2018-2023)",Transportation,5627.44,Internal Analytics Team,2024-07-10
341,"Global Stock Prices (Global, 2018-2024)",Finance,5299.1,Internal Analytics Team,2023-11-19
342,"Student Enrollment Statistics (EU, 2017-2024)",Education,1969.29,Public API,2018-02-25
343,"Daily Sales Transactions (Middle East, 2022-2024)",Retail,4321.69,Government Open Data,2018-12-28
344,"University Graduation Rates (Global, 2017-2023)",Education,6452.88,Research Institute,2019-09-24
345,"School Performance Index (Middle East, 2021-2025)",Education,7730.75,Research Institute,2023-08-05
346,"Standardized Test Results (Global, 2020-2023)",Education,398.57,Government Open Data,2020-09-21
347,"Clinical Trial Outcomes (Global, 2017-2024)",Healthcare,2483.87,Public API,2018-02-09
348,"E-commerce Conversion Rates (US, 2020-2023)",Retail,2019.33,Research Institute,2021-08-11
349,"Wildlife Population Surveys (Global, 2015-2025)",Environment,7884.46,Public API,2023-04-09
350,"Vehicle Registration Records (Global, 2021-2023)",Transportation,5341.18,Public API,2022-08-04
351,"Carbon Emissions Data (Asia, 2019-2024)",Environment,1949.26,Kaggle,2022-02-06
352,"Cryptocurrency Transactions (Global, 2020-2024)",Finance,4518.14,Public API,2023-08-09
353,"Student Enrollment Statistics (US, 2015-2025)",Education,1484.07,Public API,2021-07-17
354,"Traffic Flow Sensors (US, 2020-2025)",Transportation,7357.68,Internal Analytics Team,2018-02-26
355,"AI Model Training Metrics (Middle East, 2015-2024)",Technology,397.54,Research Institute,2023-12-02
356,"Hospital Patient Admissions (Asia, 2022-2024)",Healthcare,5692.14,Internal Analytics Team,2019-11-24
357,"Online Course Participation (Middle East, 2022-2025)",Education,1547.65,Research Institute,2022-06-21
358,"School Performance Index (Global, 2016-2025)",Education,7494.16,Government Open Data,2020-01-24
359,"Daily Sales Transactions (Middle East, 2021-2023)",Retail,2538.84,Public API,2018-01-07
360,"School Performance Index (US, 2017-2023)",Education,3531.87,Kaggle,2024-05-18
361,"Global Stock Prices (Middle East, 2019-2023)",Finance,7087.48,Government Open Data,2021-08-30
362,"Daily Sales Transactions (Middle East, 2016-2023)",Retail,4796.63,Internal Analytics Team,2020-01-15
363,"University Graduation Rates (Middle East, 2020-2024)",Education,3521.72,Kaggle,2021-01-17
364,"Vehicle Registration Records (Global, 2019-2023)",Transportation,3838.5,Internal Analytics Team,2023-04-29
365,"University Graduation Rates (EU, 2019-2025)",Education,4897.07,Public API,2022-08-19
366,"Cloud Server Performance Logs (US, 2016-2023)",Technology,7375.06,Research Institute,2018-05-06
367,"Cloud Server Performance Logs (Asia, 2017-2024)",Technology,2518.86,Government Open Data,2023-09-21
368,"Medical Insurance Claims (Middle East, 2020-2023)",Healthcare,51.5,Internal Analytics Team,2022-09-21
369,"Cryptocurrency Transactions (EU, 2016-2023)",Finance,889.42,Government Open Data,2023-11-19
370,"University Graduation Rates (Middle East, 2021-2024)",Education,4442.9,Public API,2024-04-22
371,"Disease Incidence Records (Asia, 2022-2023)",Healthcare,1660.35,Government Open Data,2018-03-13
372,"Clinical Trial Outcomes (US, 2017-2025)",Healthcare,635.97,Government Open Data,2018-10-03
373,"Cloud Server Performance Logs (Middle East, 2022-2023)",Technology,2504.99,Public API,2019-12-07
374,"Public Transit Ridership (Global, 2018-2025)",Transportation,3270.14,Kaggle,2024-06-18
375,"Carbon Emissions Data (EU, 2015-2024)",Environment,7643.82,Kaggle,2023-07-23
376,"Daily Sales Transactions (Middle East, 2015-2025)",Retail,6060.91,Public API,2019-03-08
377,"Software Bug Reports (EU, 2016-2024)",Technology,6018.78,Government Open Data,2019-02-20
378,"Standardized Test Results (Asia, 2020-2024)",Education,4589.58,Public API,2022-10-24
379,"Medical Insurance Claims (US, 2015-2024)",Healthcare,56.05,Kaggle,2019-02-22
380,"Online Course Participation (EU, 2018-2024)",Education,977.53,Kaggle,2023-02-03
381,"Air Quality Measurements (EU, 2022-2025)",Environment,1495.73,Government Open Data,2019-03-25
382,"Product Pricing Trends (Asia, 2017-2025)",Retail,1547.4,Research Institute,2020-04-26
383,"E-commerce Conversion Rates (Global, 2020-2024)",Retail,7242.74,Public API,2018-07-16
384,"School Performance Index (Global, 2015-2024)",Education,423.08,Government Open Data,2023-11-08
385,"Water Pollution Levels (US, 2018-2024)",Environment,5213.02,Government Open Data,2022-12-13
386,"Cloud Server Performance Logs (Global, 2021-2024)",Technology,5703.91,Kaggle,2018-12-24
387,"Wildlife Population Surveys (Middle East, 2022-2023)",Environment,1712.11,Research Institute,2018-08-14
388,"Climate Temperature Records (Middle East, 2017-2024)",Environment,3927.19,Research Institute,2018-03-05
389,"Online Course Participation (US, 2017-2025)",Education,380.58,Research Institute,2019-11-24
390,"Software Bug Reports (US, 2022-2025)",Technology,2234.71,Internal Analytics Team,2020-01-16
391,"Vehicle Registration Records (Global, 2016-2024)",Transportation,4450.16,Internal Analytics Team,2022-10-01
392,"Traffic Flow Sensors (EU, 2016-2024)",Transportation,6636.64,Government Open Data,2018-04-14
393,"Cryptocurrency Transactions (Middle East, 2022-2024)",Finance,3800.64,Research Institute,2021-08-01
394,"Medical Insurance Claims (Global, 2020-2024)",Healthcare,472.97,Government Open Data,2021-06-17
395,"Traffic Flow Sensors (Global, 2021-2024)",Transportation,6194.91,Internal Analytics Team,2020-01-06
396,"Daily Sales Transactions (EU, 2019-2025)",Retail,4550.53,Research Institute,2019-10-01
397,"Customer Purchase History (Global, 2018-2023)",Retail,1746.38,Internal Analytics Team,2021-06-20
398,"Bank Loan Defaults (US, 2016-2024)",Finance,6622.22,Public API,2024-06-18
399,"Mobile App Usage Analytics (US, 2016-2024)",Technology,1637.6,Public API,2018-07-07
400,"Medical Insurance Claims (Asia, 2022-2024)",Healthcare,905.95,Public API,2018-08-09
401,"Daily Sales Transactions (Middle East, 2021-2025)",Retail,583.43,Internal Analytics Team,2022-12-11
402,"Wildlife Population Surveys (EU, 2016-2025)",Environment,6047.36,Research Institute,2023-03-05
403,"Air Quality Measurements (Middle East, 2015-2023)",Environment,3838.39,Internal Analytics Team,2023-07-18
404,"Student Enrollment Statistics (Asia, 2016-2023)",Education,3305.96,Government Open Data,2019-12-31
405,"Internet Traffic Statistics (EU, 2019-2023)",Technology,4416.32,Government Open Data,2023-05-30
406,"Cryptocurrency Transactions (EU, 2018-2023)",Finance,6269.06,Internal Analytics Team,2018-05-03
407,"Daily Sales Transactions (Global, 2016-2023)",Retail,4056.29,Government Open Data,2022-10-12
408,"School Performance Index (EU, 2016-2023)",Education,67.91,Internal Analytics Team,2019-08-30
409,"Clinical Trial Outcomes (Asia, 2015-2023)",Healthcare,4098.42,Government Open Data,2021-06-22
410,"Disease Incidence Records (EU, 2016-2023)",Healthcare,4150.08,Research Institute,2019-01-25
411,"Clinical Trial Outcomes (US, 2021-2024)",Healthcare,2672.5,Government Open Data,2021-04-19
412,"Disease Incidence Records (Global, 2021-2023)",Healthcare,3095.79,Public API,2018-12-14
413,"Global Stock Prices (US, 2019-2023)",Finance,7765.13,Research Institute,2018-05-10
414,"Air Quality Measurements (Global, 2016-2025)",Environment,6258.31,Kaggle,2020-08-20
415,"Cryptocurrency Transactions (EU, 2021-2023)",Finance,6824.63,Public API,2023-09-05
416,"Public Health Surveillance (Global, 2016-2025)",Healthcare,3815.72,Internal Analytics Team,2021-06-03
417,"School Performance Index (Global, 2017-2023)",Education,4077.56,Public API,2022-06-10
418,"Product Pricing Trends (Middle East, 2017-2023)",Retail,7318.24,Government Open Data,2021-11-27
419,"Product Pricing Trends (EU, 2022-2023)",Retail,1062.44,Public API,2022-10-14
420,"University Graduation Rates (Middle East, 2016-2024)",Education,4484.2,Government Open Data,2018-06-30
421,"Disease Incidence Records (EU, 2020-2023)",Healthcare,3078.66,Kaggle,2024-01-18
422,"Public Transit Ridership (EU, 2018-2024)",Transportation,398.66,Kaggle,2021-05-31
423,"Traffic Flow Sensors (US, 2020-2025)",Transportation,7104.27,Research Institute,2023-09-22
424,"E-commerce Conversion Rates (Middle East, 2020-2025)",Retail,1092.21,Research Institute,2022-07-13
425,"Global Stock Prices (Global, 2020-2025)",Finance,444.02,Kaggle,2023-09-18
426,"Vehicle Registration Records (Middle East, 2015-2025)",Transportation,475.26,Government Open Data,2023-09-25
427,"Quarterly Revenue Reports (Middle East, 2020-2023)",Finance,6606.49,Kaggle,2021-08-15
428,"Public Health Surveillance (EU, 2020-2024)",Healthcare,7628.49,Kaggle,2022-04-08
429,"University Graduation Rates (Asia, 2015-2023)",Education,6802.16,Kaggle,2018-03-30
430,"Mobile App Usage Analytics (US, 2022-2025)",Technology,1746.94,Public API,2023-05-11
431,"Vehicle Registration Records (Middle East, 2021-2025)",Transportation,3196.96,Government Open Data,2018-03-02
432,"Air Quality Measurements (EU, 2017-2024)",Environment,4896.98,Kaggle,2018-04-02
433,"Medical Insurance Claims (US, 2017-2023)",Healthcare,7824.15,Research Institute,2018-06-26
434,"Cloud Server Performance Logs (EU, 2022-2024)",Technology,5084.77,Government Open Data,2019-05-21
435,"Software Bug Reports (EU, 2018-2024)",Technology,7351.82,Government Open Data,2023-05-18
436,"Global Stock Prices (Global, 2019-2023)",Finance,3291.7,Internal Analytics Team,2024-03-27
437,"Clinical Trial Outcomes (US, 2015-2023)",Healthcare,3390.73,Government Open Data,2020-08-08
438,"Online Course Participation (US, 2016-2025)",Education,7235.3,Research Institute,2020-08-05
439,"University Graduation Rates (US, 2020-2023)",Education,5870.31,Government Open Data,2021-08-19
440,"University Graduation Rates (Global, 2022-2025)",Education,3541.36,Government Open Data,2020-06-16
441,"Consumer Credit Scores (Middle East, 2017-2025)",Finance,3539.47,Public API,2024-12-15
442,"Public Health Surveillance (Asia, 2018-2023)",Healthcare,7902.18,Research Institute,2022-05-16
443,"University Graduation Rates (Asia, 2016-2024)",Education,3660.64,Research Institute,2018-10-09
444,"Disease Incidence Records (Middle East, 2015-2023)",Healthcare,5589.39,Kaggle,2021-03-07
445,"School Performance Index (Global, 2016-2023)",Education,4328.07,Research Institute,2018-03-03
446,"Student Enrollment Statistics (Asia, 2019-2024)",Education,4202.37,Kaggle,2024-12-06
447,"Software Bug Reports (Global, 2016-2025)",Technology,4378.97,Research Institute,2018-10-14
448,"AI Model Training Metrics (Asia, 2018-2023)",Technology,7554.94,Public API,2020-09-23
449,"Online Course Participation (Asia, 2015-2025)",Education,7347.98,Internal Analytics Team,2023-09-10
450,"Wildlife Population Surveys (Asia, 2017-2025)",Environment,5084.53,Public API,2024-03-05
451,"Traffic Flow Sensors (US, 2018-2025)",Transportation,167.2,Kaggle,2023-07-11
452,"Inventory Stock Levels (Global, 2017-2025)",Retail,2903.09,Research Institute,2021-05-24
453,"Software Bug Reports (EU, 2021-2023)",Technology,849.75,Research Institute,2021-07-18
454,"Bank Loan Defaults (Asia, 2015-2024)",Finance,2318.78,Public API,2018-11-26
455,"Consumer Credit Scores (US, 2018-2025)",Finance,7496.93,Internal Analytics Team,2019-11-25
456,"Flight Delay Statistics (Global, 2017-2023)",Transportation,4785.64,Kaggle,2020-09-22
457,"Wildlife Population Surveys (EU, 2015-2025)",Environment,3865.35,Government Open Data,2024-12-15
458,"Vehicle Registration Records (Global, 2019-2025)",Transportation,6077.02,Government Open Data,2020-07-24
459,"Water Pollution Levels (US, 2015-2023)",Environment,4767.14,Public API,2022-05-12
460,"Inventory Stock Levels (Global, 2015-2024)",Retail,417.23,Internal Analytics Team,2018-10-15
461,"Standardized Test Results (US, 2017-2025)",Education,7423.47,Research Institute,2024-03-21
462,"Public Health Surveillance (EU, 2019-2025)",Healthcare,2466.78,Research Institute,2021-04-23
463,"Daily Sales Transactions (US, 2020-2025)",Retail,2613.49,Research Institute,2021-04-12
464,"Student Enrollment Statistics (US, 2020-2025)",Education,6822.51,Public API,2020-02-26
465,"Climate Temperature Records (Global, 2020-2024)",Environment,929.56,Kaggle,2023-03-10
466,"Climate Temperature Records (Asia, 2019-2024)",Environment,4854.97,Government Open Data,2021-04-17
467,"School Performance Index (US, 2021-2023)",Education,2408.41,Internal Analytics Team,2018-08-15
468,"Software Bug Reports (EU, 2015-2025)",Technology,1984.94,Public API,2019-02-05
469,"Wildlife Population Surveys (EU, 2021-2025)",Environment,2128.97,Research Institute,2020-07-14
470,"Customer Purchase History (Global, 2017-2025)",Retail,2032.71,Public API,2020-02-24
471,"Hospital Patient Admissions (Global, 2021-2024)",Healthcare,7025.39,Research Institute,2018-05-11
472,"Student Enrollment Statistics (US, 2021-2023)",Education,3665.88,Kaggle,2024-09-09
473,"Hospital Patient Admissions (Asia, 2019-2025)",Healthcare,5396.96,Internal Analytics Team,2024-11-11
474,"Air Quality Measurements (US, 2020-2024)",Environment,5193.51,Kaggle,2023-03-09
475,"Student Enrollment Statistics (Middle East, 2015-2025)",Education,4057.83,Internal Analytics Team,2024-05-24
476,"School Performance Index (Middle East, 2019-2025)",Education,440.88,Government Open Data,2018-05-05
477,"Customer Purchase History (Middle East, 2019-2024)",Retail,6566.3,Public API,2020-09-25
478,"Product Pricing Trends (Middle East, 2022-2024)",Retail,340.81,Kaggle,2023-10-12
479,"AI Model Training Metrics (Asia, 2017-2023)",Technology,2769.84,Public API,2019-03-16
480,"Public Transit Ridership (EU, 2020-2024)",Transportation,7211.11,Research Institute,2019-04-26
481,"Mobile App Usage Analytics (Asia, 2019-2023)",Technology,3889.12,Internal Analytics Team,2020-08-23
482,"Road Accident Reports (Middle East, 2019-2024)",Transportation,7793.22,Kaggle,2022-06-07
483,"Cryptocurrency Transactions (EU, 2015-2023)",Finance,1210.01,Research Institute,2021-08-24
484,"Standardized Test Results (Middle East, 2017-2024)",Education,3414.15,Government Open Data,2021-12-22
485,"Carbon Emissions Data (Asia, 2015-2024)",Environment,4935.18,Public API,2024-01-21
486,"Medical Insurance Claims (Asia, 2020-2024)",Healthcare,1413.95,Public API,2018-10-27
487,"Hospital Patient Admissions (Middle East, 2017-2024)",Healthcare,2354.06,Research Institute,2023-01-27
488,"Public Health Surveillance (Middle East, 2017-2023)",Healthcare,6248.05,Public API,2021-08-12
489,"Cloud Server Performance Logs (Asia, 2015-2023)",Technology,2243.5,Government Open Data,2021-10-10
490,"Cryptocurrency Transactions (US, 2022-2025)",Finance,2923.45,Kaggle,2020-06-30
491,"Quarterly Revenue Reports (Middle East, 2016-2025)",Finance,6624.69,Kaggle,2018-12-31
492,"Software Bug Reports (US, 2018-2024)",Technology,596.85,Kaggle,2021-09-12
493,"Quarterly Revenue Reports (US, 2015-2023)",Finance,6228.77,Kaggle,2019-05-24
494,"Mobile App Usage Analytics (Asia, 2016-2025)",Technology,1356.89,Kaggle,2023-03-25
495,"Mobile App Usage Analytics (Middle East, 2015-2024)",Technology,4984.63,Internal Analytics Team,2021-11-24
496,"Product Pricing Trends (Asia, 2018-2023)",Retail,7899.22,Internal Analytics Team,2020-12-31
497,"Clinical Trial Outcomes (US, 2020-2025)",Healthcare,7071.62,Kaggle,2024-03-19
498,"Public Transit Ridership (Global, 2019-2023)",Transportation,4176.93,Public API,2023-02-05
499,"Flight Delay Statistics (EU, 2020-2025)",Transportation,6229.4,Government Open Data,2019-11-18
500,"University Graduation Rates (US, 2019-2025)",Education,4579.65,Government Open Data,2019-05-08
